Inc+A1:F52ident,RMSOccurrenceDate,RMSOccurrenceHour,NIBRSClass,NIBRSDescription,OffenseCount,Beat,Premise,StreetNo,StreetName,StreetType,Suffix,City,ZIPCode,MapLongitude,MapLatitude
181239424,2024-12-31,9,90Z,All other offenses,1,20G10,"Residence, Home (Includes Apartment)",3901,WOODCHASE,DR,,HOUSTON,77042.0,-95.54506,29.721264
181240224,2024-12-31,9,13C,Intimidation,1,HCSO,"Residence, Home (Includes Apartment)",12212,TIDWELL,RD,,HARRIS CO,77044.0,-95.21656,29.849876
181241624,2024-12-31,9,23F,Theft from motor vehicle,1,18F60,"Service, Gas Station",7004,GESSNER,RD,S,HOUSTON,77036.0,-95.53798,29.703702
181243524,2024-12-31,9,23G,Theft of motor vehicle parts or accessory,1,17E40,"Parking Lot, Garage",6363,AIRPORT,BLVD,W,HOUSTON,77035.0,-95.502424,29.644321
181245624,2024-12-31,9,90J,Trespass of real property,1,10H20,"Residence, Home (Includes Apartment)",1305,MUNGER,ST,,HOUSTON,77023.0,-95.334247,29.728643
181245824,2024-12-31,9,23F,Theft from motor vehicle,1,17E30,"Highway, Road, Street, Alley",9006,WEYMOUTH,DR,,HOUSTON,77031.0,-95.541009,29.652867
181246324,2024-12-31,9,13A,Aggravated Assault,1,20G20,"Hotel, Motel, ETC",2424,SAM HOUSTON,PKWY,W,HOUSTON,77042.0,-95.558451,29.739289
181246424,2024-12-31,9,220,"Burglary, Breaking and Entering",1,3B50,"Residence, Home (Includes Apartment)",1224,TIDWELL,RD,,HOUSTON,77022.0,-95.361375,29.846083
181248024,2024-12-31,9,23C,Shoplifting,1,12D10,"Department, Discount Store",10414,GULF,FWY,,HOUSTON,77075.0,-95.244879,29.642112
181248824,2024-12-31,9,13A,Aggravated Assault,1,15E20,"Parking Lot, Garage",11500,CHIMNEY ROCK,RD,,HOUSTON,77035.0,-95.478012,29.6558
181249524,2024-12-31,9,13C,Intimidation,1,6B30,Convenience Store,6010,TIDWELL,RD,W,HOUSTON,77092.0,-95.478776,29.850281
181251224,2024-12-31,9,13B,Simple assault,1,18F10,"Hotel, Motel, ETC",111,POST OAK,LN,N,HOUSTON,77024.0,-95.457517,29.768188
181257424,2024-12-31,9,120,Robbery,1,17E40,"Residence, Home (Includes Apartment)",12261,FONDREN,RD,,HOUSTON,77035.0,-95.508295,29.645284
181295624,2024-12-31,9,40B,Assisting or promoting prostitution,1,1A10,"Other, Unknown",1200,TRAVIS,ST,,HOUSTON,77002.0,-95.36704,29.755933
181308224,2024-12-31,9,240,Motor vehicle theft,1,9C30,"Parking Lot, Garage",9314,WALLISVILLE,RD,,HOUSTON,77013.0,-95.265438,29.791899
181392524,2024-12-31,9,23D,Theft from building,1,20G30,"Residence, Home (Includes Apartment)",2920,WILCREST,DR,,HOUSTON,77042.0,-95.571705,29.732751
599025,2024-12-31,10,23F,Theft from motor vehicle,1,17E40,"Parking Lot, Garage",12400,HILLCROFT,AVE,,HOUSTON,77035.0,-95.493161,29.64261
181253524,2024-12-31,10,23F,Theft from motor vehicle,1,17E30,Convenience Store,9630,BELLFORT,AVE,W,HOUSTON,77031.0,-95.548281,29.65449
181254024,2024-12-31,10,90J,Trespass of real property,1,21I50,"Airplane, Bus,Train Terminal",3500,TERMINAL,RD,N,HOUSTON,77032.0,-95.339408,29.987418
181254724,2024-12-31,10,13A,Aggravated Assault,1,11H30,"Residence, Home (Includes Apartment)",8241,GLENVIEW,DR,,HOUSTON,77017.0,-95.262787,29.683412
181263624,2024-12-31,10,23C,Shoplifting,1,3B50,"Department, Discount Store",4412,NORTH,FWY,,HOUSTON,77022.0,-95.377168,29.830001
181263624,2024-12-31,10,90J,Trespass of real property,1,3B50,"Department, Discount Store",4412,NORTH,FWY,,HOUSTON,77022.0,-95.377168,29.830001
181263624,2024-12-31,10,35B,Drug equipment violations,1,3B50,"Department, Discount Store",4412,NORTH,FWY,,HOUSTON,77022.0,-95.377168,29.830001
181268724,2024-12-31,10,250,"Counterfeiting, forgery",1,18F10,"Residence, Home (Includes Apartment)",2,WINSTON WOODS,DR,,HOUSTON,77024.0,-95.469015,29.771982
181268824,2024-12-31,10,13B,Simple assault,1,11H10,"Grocery, Supermarket",2391,WAYSIDE,DR,S,HOUSTON,77023.0,-95.314924,29.716072
181270024,2024-12-31,10,13C,Intimidation,1,11H20,"Residence, Home (Includes Apartment)",7210,DAHLIA,ST,,HOUSTON,77012.0,-95.289646,29.714439
181271224,2024-12-31,10,23F,Theft from motor vehicle,1,12D10,"Parking Lot, Garage",10064,ALMEDA GENOA,RD,,HOUSTON,77075.0,-95.236901,29.627598
181271424,2024-12-31,10,13A,Aggravated Assault,1,15E20,"Residence, Home (Includes Apartment)",5731,CARTAGENA,ST,,HOUSTON,77035.0,-95.487523,29.65051
181273224,2024-12-31,10,90D,Driving under the influence,1,18F40,"Highway, Road, Street, Alley",3300,HILLCROFT,AVE,,HOUSTON,77057.0,-95.501163,29.72928
181276524,2024-12-31,10,23F,Theft from motor vehicle,1,24C30,"Residence, Home (Includes Apartment)",4008,LONG LEAF,LN,,HOUSTON,77345.0,-95.174462,30.070842
